Source,Target
Peregrinx,dalequetepego
ferotecas,alguien_neutral
ferotecas,_infoLibre
MrGris949,Antoniogestion
fandelat3,AntonioMaestre
fandelat3,guille_lorca
CJuanatey,LekaconK
deathlesssong,fermont1965
JuanmaMM98,ComeHerePuthes
irene_3098,swantxo
M1GU3L_MP,suggarmarxist
IrisDM7,iunida
ANTONIACUE,JoaquimBoschGra
KARLOSGARCIA75,norcoreano
bette_noir__,suggarmarxist
penefurtivo,yanina_rubia
CayedoggPs4,Berlustinho
raeworld11,fermont1965
42franmarma,SiPeroNo1
PewPewGrrrl,Garrosa
zakhidgtg9bog,Garrosa
skazofrenico,Garrosa
Lourdes180679,fermont1965
victor_more1,Garrosa
FranSolano,NTMEP
PatrySanroman,NTMEP
GuillemGirona,gabrielrufian
celiama9,eljueves
celiama9,kira_95
jordigil96,suggarmarxist
MathewStrat,suggarmarxist
cesvlc,bufetalmeida
DoktorZero,bufetalmeida
duotrece,suggarmarxist
Kid_letro,Cisner0ss
Kid_letro,_infoLibre
JorgeOtolio,bufetalmeida
AirMaxDon,suggarmarxist
Kid_letro,alguien_neutral
Kid_letro,_infoLibre
_ju1_,suggarmarxist
Gabrielestan,CarmenRiolobos
MarioRMMM,RobertoHBrito
DrSamoano,Requeni_
surrendermin20,rossend1963
pablo6814,hydrosound
pablo6814,CesarStrawberry
JDCarracedo,subversivos_
ThunderKiiwi,suggarmarxist
Ygritte_Snow,swantxo
twittaghan,Garrosa
Tofol1914,JoaquimBoschGra
Vii1,swantxo
DeathGunMLG,kira_95
SBMontero,cope_es
francescoromeo4,iunida
francescoromeo4,agarzon
ShinMadori,suggarmarxist
fragmentajes,Garrosa
AlexPowerUp,rnrlx_bot
SadGuts,suggarmarxist
antonio_cera,hydrosound
antonio_cera,CesarStrawberry
Pablo200206,ipulidob
Pablo200206,sergigm87
Alex_Subii,kira_95
adridibasket,Omar4114
bilduman90,nodo50
pepipussa,SiPeroNo1
Greevilr,Garrosa
RunemasterLiam,Garrosa
FernandoVega98,kira_95
Sandrii_kitty,fermont1965
ChibiYoru,Garrosa
arathodic,Sara_gra
arathodic,kira_95
TonnyWanna,Xuxipc
FaidiFawaz,PANAIR1964
FaidiFawaz,rcabrero75
FaidiFawaz,marianorajoy
duotrece,Sara_gra
duotrece,kira_95
SniffyDiffy,siaucame
Byeluque,Garrosa
robergomez_23,Bibirona01
ItzZuga,kira_95
JinxedLilith,suggarmarxist
HyDrAxX_,kira_95
carmancobain,kira_95
Stoyhastaelpelo,LuchaxRojas
ines_saez,JoaquimBoschGra
Alej037,kira_95
Razvieu,kira_95
PANAIR1964,rcabrero75
PANAIR1964,marianorajoy
reydecobos,Garrosa
accaro77,Garrosa
robotronk1,Aquel_Coche
robotronk1,sara_vmartin
admora_in,HogarSocialMad
Marcosm107,YouTube
carralportas,HogarSocialMad
LaLauriRudie,hydrosound
LaLauriRudie,CesarStrawberry
sergiokfe,Garrosa
DEF_CON_DOS,hydrosound
DEF_CON_DOS,CesarStrawberry
nxadt,fermont1965
telo_azul,Aquel_Coche
ndres_reche,elmundotoday
pauwinchestah,fermont1965
LectoraDolores,Accountable2019
cruatanam,silviamxndarina
cruatanam,CuriousCatMe
N_Band,Accountable2019
Jorge_malus,Accountable2019
AdriPerea,hydrosound
AdriPerea,CesarStrawberry
btxcgnbv,JoaquimBoschGra
jimenezaitziber,Garrosa
fredomercury,SiPeroNo1
laauriusdg,fermont1965
calsojorn10,gabrielrufian
er_retuiteado,hydrosound
er_retuiteado,CesarStrawberry
CorzoMiguel,Garrosa
FelicidadLazaro,hydrosound
FelicidadLazaro,CesarStrawberry
Rockbledillo79,hydrosound
Rockbledillo79,CesarStrawberry
ManuPlanetario,hydrosound
ManuPlanetario,CesarStrawberry
CesarStrawberry,hydrosound
CesarStrawberry,CesarStrawberry
BBasileus,fermont1965
BaeronDallas,Garrosa
GonzaloAbellan,Xuxipc
femiyonki,Garrosa
eduvillarblas,JoaquimBoschGra
heterofobiaviva,Garrosa
aljadim,Garrosa
alguien_neutral,_infoLibre
MarcoAndreFP,suggarmarxist
3Gerar,Garrosa
jesustejero1,eljueves
MaaariaEmece,Garrosa
JudithVV28,SiPeroNo1
cr3tin0s,Xuxipc
RogerSampietro,Garrosa
aguVV,Garrosa
josema0890,AfroParadise
josema0890,kowaretaP
josema0890,Pepinodeguerra
VictorMoral,Garrosa
clgrcx,Deadlosito98
AReija_,Garrosa
GinTonicGirl7,Garrosa
AfroParadise,josema0890
AfroParadise,kowaretaP
AfroParadise,Pepinodeguerra
nadeyyo,Garrosa
danicuv,Garrosa
jalcuten,Garrosa
sangostian,Garrosa
angelcalleja,Garrosa
josema0890,AfroParadise
josema0890,kowaretaP
josema0890,Pepinodeguerra
_juan_antonio_,Garrosa
Mallus_Malleus,Xuxipc
heladit0s,Garrosa
GrandeIII,Garrosa
IUMORON,iunida
IUMORON,agarzon
oscarbenidorm,Garrosa
PabloSQG,Garrosa
BerbiquiS,Xuxipc
PorcularPartido,gabrielrufian
GatRoig,suggarmarxist
EmiliadeCarinho,Xuxipc
Nathanael,Garrosa
EmiliadeCarinho,JDCarracedo
psanmarti,Garrosa
wesrok,Garrosa
OsQar,Garrosa
almarx_,Garrosa
Emma97_,Garrosa
asicamen,Garrosa
pochemucka_,Garrosa
Com_AChoverov,Garrosa
Sara_gra,suggarmarxist
samudelacruz,Garrosa
freemagnum,Garrosa
Jcarlosol,Garrosa
oscuro_casco,Silvicarri
Gloire_,SiPeroNo1
davcimas,Garrosa
umbriel_otaku,Garrosa
NicolasMerino46,Garrosa
Ivan_Galiana,AmebaCrujiente
RCamara22,Garrosa
alf_amra,Garrosa
Cisner0ss,_infoLibre
Musica_Mierder,Garrosa
Martixx,Garrosa
Davidferpre,Garrosa
Zifra,Garrosa
raul_decast,Garrosa
